PRODUTO;CATEGORIA
ECS Tipo S;Servicos de Computacao
ECS Tipo C;Servicos de Computacao
EVS;Servicos de Armazenamento
OBS;Servicos de Armazenamento
CCE;Servicos de Container
SWR;Servicos de Container
CGS;Servico de Seguranca de Nuvem
Huawei MySQL ;Banco de Dados como Servico
Huawei PostgreSQL;Banco de Dados como Servico
Huawei WAF;Servico de Seguranca de Nuvem
CBH;Servico de Seguranca de Nuvem
CodeArts Enterprise;Inteligência Artificial e Machine Learning
IMS;Servicos de Computacao
Huawei Auto Scaling;Servicos de Computacao
SMN;Gerenciamento e Implantacao
TMS;Gerenciamento e Implantacao
VPC Endpoint;Servicos de Rede
DNS;Servicos de Rede
ELB;Servicos de Rede
VPC NAT Gateway;Servicos de Rede
VPN;Servicos de Rede
IAM;Gerenciamento e Implantacao
Cloud Eye;Gerenciamento e Implantacao
Cloud Eye + AOM;Gerenciamento e Implantacao
EIP;Servicos de Rede
EIP Traffic Monitoring;Servicos de Rede
SMC;Servico de Seguranca de Nuvem
Anti-DDoS;Servico de Seguranca de Nuvem
CBR;Servicos de Backup e DR
Huawei KMS;Gerenciamento e Implantacao
Basic On-Site Services;Suporte Profissional Enterprise
Cloud Service Engineer Training;Suporte Profissional Enterprise
EC2;Servicos de Computacao
EC2 - GPU;Servicos de Computacao
Auto Scaling;Servicos de Computacao
Serverless;Servicos de Computacao
EKS;Servicos de Container
AWS ECS;Servicos de Container
ECR;Servicos de Container
VPC ;Servicos de Rede
AWS Transit Gateway;Servicos de Rede
AWS PrivateLink;Servicos de Rede
Amazon VPC Lattice;Servicos de Rede
AWS AppMesh;Servicos de Rede
AWS Cloud MAP;Servicos de Rede
Route 53;Servicos de Rede
AWS Web Application Firewall;Servico de Seguranca de Nuvem
Security Groups ;Servico de Seguranca de Nuvem
AWS Network Firewall;Servico de Seguranca de Nuvem
Network Load Balancer;Servicos de Rede
Application Load Balancer;Servicos de Rede
Gateway Load Balancer;Servicos de Rede
Nat Gateway;Servicos de Rede
AWS VPN;Servicos de Rede
Amazon ElastiCache for Redis/MemCache;Gerenciamento e Implantacao
AWS Identity and Access Management (IAM);Gerenciamento e Implantacao
AWS IAM Identiy Center;Gerenciamento e Implantacao
AWS Organizations;Gerenciamento e Implantacao
Amazon Cognito;Gerenciamento e Implantacao
Amazon Verified Permissions;Gerenciamento e Implantacao
AWS Resource Manager;Gerenciamento e Implantacao
AWS Directory Service;Gerenciamento e Implantacao
CloudTrail;Gerenciamento e Implantacao
CloudWatch;Gerenciamento e Implantacao
Amazon Managed Service for Prometheus;Gerenciamento e Implantacao
AWS X-Ray;Gerenciamento e Implantacao
AWS Artifact;Gerenciamento e Implantacao
Amazon GuardDuty;Gerenciamento e Implantacao
Amazon Inspector;Gerenciamento e Implantacao
AWS Security Hub;Gerenciamento e Implantacao
Amazon Security Lake;Gerenciamento e Implantacao
Amazon Detective;Gerenciamento e Implantacao
Amazon Config;Gerenciamento e Implantacao
Amazon  Shield;Gerenciamento e Implantacao
Amazon Macie;Gerenciamento e Implantacao
AWS EBS;Servicos de Armazenamento
Amazon S3;Servicos de Armazenamento
Amazon S3 Glacier;Servicos de Armazenamento
Amazon S3 Glacier Deep Archive;Servicos de Armazenamento
Amazon EFS;Servicos de Armazenamento
Amazon FSX for Windows;Servicos de Armazenamento
Amazon Fsx for Lustre;Servicos de Armazenamento
Amazon Storage Gateway;Servicos de Armazenamento
AWS Backup;Servicos de Backup e DR
AWS PostgreSQL;Banco de Dados como Servico
AWS MySQL;Banco de Dados como Servico
Amazon Keyspaces;Banco de Dados como Servico
Amazon Nepture;Banco de Dados como Servico
Amazon DynamoDB;Banco de Dados como Servico
Amazon Keyspaces;Banco de Dados como Servico
Amazon DocumentDB;Banco de Dados como Servico
AWS Migration Hub;Suporte Profissional Enterprise
AWS Application Migration Service (MGN);Suporte Profissional Enterprise
AWS App2Container;Suporte Profissional Enterprise
AWS Database Migration Service;Suporte Profissional Enterprise
AWS Snowball Edge;Suporte Profissional Enterprise
AWS DataSync;Suporte Profissional Enterprise
AWS Storage Gateway;Suporte Profissional Enterprise
Amazon Q;Inteligência Artificial e Machine Learning
Amazon Bedrock;Inteligência Artificial e Machine Learning
Amazon Transcribe;Inteligência Artificial e Machine Learning
Amazon Polly;Inteligência Artificial e Machine Learning
Amazon Textract;Inteligência Artificial e Machine Learning
Amazon Rekoginiton;Inteligência Artificial e Machine Learning
Amazon Lex;Inteligência Artificial e Machine Learning
Amazon Translate;Inteligência Artificial e Machine Learning
Amazon Personalize;Inteligência Artificial e Machine Learning
Amazon Augmented AI;Inteligência Artificial e Machine Learning
Amazon Comprehend;Inteligência Artificial e Machine Learning
Amazon Fraud Detector;Inteligência Artificial e Machine Learning
Amazon Kendra;Inteligência Artificial e Machine Learning
Amazon Sagemaker;Inteligência Artificial e Machine Learning
Amazon QuickSight;Analytics
Amazon Athena;Analytics
AWS Data Exchange;Analytics
AWS Lake Formation;Analytics
Amazon DataZone;Analytics
