PRODUTO;FORMATO
ECS Tipo S;ON PREMISES
ECS Tipo C;ON PREMISES
EVS;ON PREMISES
OBS;ON PREMISES
CCE;ON PREMISES
SWR;ON PREMISES
CGS;ON PREMISES
Huawei MySQL ;ON PREMISES
Huawei PostgreSQL;ON PREMISES
Huawei WAF;ON PREMISES
CBH;ON PREMISES
CodeArts Enterprise;PUBLIC CLOUD
IMS;ON PREMISES
Huawei Auto Scaling;ON PREMISES
SMN;ON PREMISES
TMS;ON PREMISES
VPC Endpoint;ON PREMISES
DNS;ON PREMISES
ELB;ON PREMISES
VPC NAT Gateway;ON PREMISES
VPN;ON PREMISES
IAM;ON PREMISES
Cloud Eye;ON PREMISES
Cloud Eye + AOM;ON PREMISES
EIP;ON PREMISES
EIP Traffic Monitoring;ON PREMISES
SMC;ON PREMISES
Anti-DDoS;ON PREMISES
CBR;ON PREMISES
Huawei KMS;ON PREMISES
Basic On-Site Services;MANAGED SERVICES
Cloud Service Engineer Training;MANAGED SERVICES
EC2;ON PREMISES
EC2 - GPU;ON PREMISES
Auto Scaling;ON PREMISES
Serverless;PUBLIC CLOUD
EKS;ON PREMISES
AWS ECS;ON PREMISES
ECR;ON PREMISES
VPC ;ON PREMISES
AWS Transit Gateway;PUBLIC CLOUD
AWS PrivateLink;PUBLIC CLOUD
Amazon VPC Lattice;PUBLIC CLOUD
AWS AppMesh;PUBLIC CLOUD
AWS Cloud MAP;PUBLIC CLOUD
Route 53;PUBLIC CLOUD
AWS Web Application Firewall;PUBLIC CLOUD
Security Groups ;PUBLIC CLOUD
AWS Network Firewall;PUBLIC CLOUD
Network Load Balancer;PUBLIC CLOUD
Application Load Balancer;PUBLIC CLOUD
Gateway Load Balancer;PUBLIC CLOUD
Nat Gateway;PUBLIC CLOUD
AWS VPN;PUBLIC CLOUD
Amazon ElastiCache for Redis/MemCache;PUBLIC CLOUD
AWS Identity and Access Management (IAM);PUBLIC CLOUD
AWS IAM Identiy Center;PUBLIC CLOUD
AWS Organizations;PUBLIC CLOUD
Amazon Cognito;PUBLIC CLOUD
Amazon Verified Permissions;PUBLIC CLOUD
AWS Resource Manager;PUBLIC CLOUD
AWS Directory Service;PUBLIC CLOUD
CloudTrail;PUBLIC CLOUD
CloudWatch;PUBLIC CLOUD
Amazon Managed Service for Prometheus;PUBLIC CLOUD
AWS X-Ray;PUBLIC CLOUD
AWS Artifact;PUBLIC CLOUD
Amazon GuardDuty;PUBLIC CLOUD
Amazon Inspector;PUBLIC CLOUD
AWS Security Hub;PUBLIC CLOUD
Amazon Security Lake;PUBLIC CLOUD
Amazon Detective;PUBLIC CLOUD
Amazon Config;PUBLIC CLOUD
Amazon  Shield;PUBLIC CLOUD
Amazon Macie;PUBLIC CLOUD
AWS EBS;ON PREMISES
Amazon S3;ON PREMISES
Amazon S3 Glacier;PUBLIC CLOUD
Amazon S3 Glacier Deep Archive;PUBLIC CLOUD
Amazon EFS;PUBLIC CLOUD
Amazon FSX for Windows;PUBLIC CLOUD
Amazon Fsx for Lustre;PUBLIC CLOUD
Amazon Storage Gateway;PUBLIC CLOUD
AWS Backup;PUBLIC CLOUD
AWS PostgreSQL;ON PREMISES
AWS MySQL;ON PREMISES
Amazon Keyspaces;PUBLIC CLOUD
Amazon Nepture;PUBLIC CLOUD
Amazon DynamoDB;PUBLIC CLOUD
Amazon Keyspaces;PUBLIC CLOUD
Amazon DocumentDB;PUBLIC CLOUD
AWS Migration Hub;MANAGED SERVICES
AWS Application Migration Service (MGN);MANAGED SERVICES
AWS App2Container;MANAGED SERVICES
AWS Database Migration Service;MANAGED SERVICES
AWS Snowball Edge;MANAGED SERVICES
AWS DataSync;MANAGED SERVICES
AWS Storage Gateway;MANAGED SERVICES
Amazon Q;PUBLIC CLOUD
Amazon Bedrock;PUBLIC CLOUD
