FORNECEDOR;PRODUTO
HUAWEI;ECS Tipo S
HUAWEI;ECS Tipo C
HUAWEI;EVS
HUAWEI;OBS
HUAWEI;CCE
HUAWEI;SWR
HUAWEI;CGS
HUAWEI;Huawei MySQL 
HUAWEI;Huawei PostgreSQL
HUAWEI;Huawei WAF
HUAWEI;CBH
HUAWEI;CodeArts Enterprise
HUAWEI;IMS
HUAWEI;Huawei Auto Scaling
HUAWEI;SMN
HUAWEI;TMS
HUAWEI;VPC Endpoint
HUAWEI;DNS
HUAWEI;ELB
HUAWEI;VPC NAT Gateway
HUAWEI;VPN
HUAWEI;IAM
HUAWEI;Cloud Eye
HUAWEI;Cloud Eye + AOM
HUAWEI;EIP
HUAWEI;EIP Traffic Monitoring
HUAWEI;SMC
HUAWEI;Anti-DDoS
HUAWEI;CBR
HUAWEI;Huawei KMS
HUAWEI;Basic On-Site Services
HUAWEI;Cloud Service Engineer Training
AWS;EC2
AWS;EC2 - GPU
AWS;Auto Scaling
AWS;Serverless
AWS;EKS
AWS;AWS ECS
AWS;ECR
AWS;VPC 
AWS;AWS Transit Gateway
AWS;AWS PrivateLink
AWS;Amazon VPC Lattice
AWS;AWS AppMesh
AWS;AWS Cloud MAP
AWS;Route 53
AWS;AWS Web Application Firewall
AWS;Security Groups 
AWS;AWS Network Firewall
AWS;Network Load Balancer
AWS;Application Load Balancer
AWS;Gateway Load Balancer
AWS;Nat Gateway
AWS;AWS VPN
AWS;Amazon ElastiCache for Redis/MemCache
AWS;AWS Identity and Access Management (IAM)
AWS;AWS IAM Identiy Center
AWS;AWS Organizations
AWS;Amazon Cognito
AWS;Amazon Verified Permissions
AWS;AWS Resource Manager
AWS;AWS Directory Service
AWS;CloudTrail
AWS;CloudWatch
AWS;Amazon Managed Service for Prometheus
AWS;AWS X-Ray
AWS;AWS Artifact
AWS;Amazon GuardDuty
AWS;Amazon Inspector
AWS;AWS Security Hub
AWS;Amazon Security Lake
AWS;Amazon Detective
AWS;Amazon Config
AWS;Amazon  Shield
AWS;Amazon Macie
AWS;AWS EBS
AWS;Amazon S3
AWS;Amazon S3 Glacier
AWS;Amazon S3 Glacier Deep Archive
AWS;Amazon EFS
AWS;Amazon FSX for Windows
AWS;Amazon Fsx for Lustre
AWS;Amazon Storage Gateway
AWS;AWS Backup
AWS;AWS PostgreSQL
AWS;AWS MySQL
AWS;Amazon Keyspaces
AWS;Amazon Nepture
AWS;Amazon DynamoDB
AWS;Amazon Keyspaces
AWS;Amazon DocumentDB
AWS;AWS Migration Hub
AWS;AWS Application Migration Service (MGN)
AWS;AWS App2Container
AWS;AWS Database Migration Service
AWS;AWS Snowball Edge
AWS;AWS DataSync
AWS;AWS Storage Gateway
AWS;Amazon Q
AWS;Amazon Bedrock
AWS;Amazon Transcribe
AWS;Amazon Polly
AWS;Amazon Textract
AWS;Amazon Rekoginiton
AWS;Amazon Lex
AWS;Amazon Translate
AWS;Amazon Personalize
