PRODUTO;CAPACIDADE
ECS Tipo S;vCPU
ECS Tipo S;RAM (GB)
ECS Tipo C;vCPU
ECS Tipo C;RAM (GB)
EVS;TB
OBS;TB
CCE;vCPU
CCE;RAM (GB)
SWR;QTE de  RECURSOS por PADRaO
CGS;Nós
Huawei MySQL ;vCPU
Huawei MySQL ;RAM (GB)
Huawei PostgreSQL;vCPU
Huawei PostgreSQL;RAM (GB)
Huawei WAF;Qnt Instâncias
Huawei WAF;Throughput (Mbps)
CBH;Qnt Instâncias
CBH;Conexões Simultâneas
CodeArts Enterprise;Quantidade de Usuarios
IMS;QTE de  RECURSOS por PADRaO
Huawei Auto Scaling;QTE de  RECURSOS por PADRaO
SMN;QTE de  RECURSOS por PADRaO
TMS;QTE de  RECURSOS por PADRaO
VPC Endpoint;QTE de  RECURSOS por PADRaO
DNS;QTE de  RECURSOS por PADRaO
ELB;QTE de  RECURSOS por PADRaO
VPC NAT Gateway;QTE de  RECURSOS por PADRaO
VPN;QTE de  RECURSOS por PADRaO
IAM;QTE de  RECURSOS por PADRaO
Cloud Eye;QTE de  RECURSOS por PADRaO
Cloud Eye + AOM;QTE de  RECURSOS por PADRaO
EIP;QTE de  RECURSOS por PADRaO
EIP Traffic Monitoring;QTE de  RECURSOS por PADRaO
SMC;QTE de  RECURSOS por PADRaO
Anti-DDoS;QTE de  RECURSOS por PADRaO
CBR;QTE de  RECURSOS por PADRaO
Huawei KMS;QTE de  RECURSOS por PADRaO
Basic On-Site Services;Período do Contrato
Cloud Service Engineer Training;Turma
EC2;RAM (GB)
EC2;vCPU
EC2 - GPU;GPU
Auto Scaling;QTE de  RECURSOS por PADRaO
Serverless;QTE de  RECURSOS por PADRaO
EKS;vCPU
EKS;RAM (GB)
AWS ECS;vCPU
AWS ECS;RAM (GB)
ECR;QTE de  RECURSOS por PADRaO
VPC ;QTE de  RECURSOS por PADRaO
AWS Transit Gateway;QTE de  RECURSOS por PADRaO
AWS PrivateLink;QTE de  RECURSOS por PADRaO
Amazon VPC Lattice;QTE de  RECURSOS por PADRaO
