PLATAFORMA;PRODUTO
HCSO;ECS Tipo S
HCSO;ECS Tipo C
HCSO;EVS
HCSO;OBS
HCSO;CCE
HCSO;SWR
HCSO;CGS
HCSO;Huawei MySQL 
HCSO;Huawei PostgreSQL
HCSO;Huawei WAF
HCSO;CBH
Nuvem Publica;CodeArts Enterprise
HCSO;IMS
HCSO;Huawei Auto Scaling
HCSO;SMN
HCSO;TMS
HCSO;VPC Endpoint
HCSO;DNS
HCSO;ELB
HCSO;VPC NAT Gateway
HCSO;VPN
HCSO;IAM
HCSO;Cloud Eye
HCSO;Cloud Eye + AOM
HCSO;EIP
HCSO;EIP Traffic Monitoring
HCSO;SMC
HCSO;Anti-DDoS
HCSO;CBR
HCSO;Huawei KMS
Servicos;Basic On-Site Services
Servicos;Cloud Service Engineer Training
OUTPOSTS;EC2
OUTPOSTS;EC2 - GPU
OUTPOSTS;Auto Scaling
Nuvem Publica;Serverless
OUTPOSTS;EKS
OUTPOSTS;AWS ECS
OUTPOSTS;ECR
OUTPOSTS;VPC 
Nuvem Publica;AWS Transit Gateway
Nuvem Publica;AWS PrivateLink
Nuvem Publica;Amazon VPC Lattice
Nuvem Publica;AWS AppMesh
Nuvem Publica;AWS Cloud MAP
Nuvem Publica;Route 53
Nuvem Publica;AWS Web Application Firewall
Nuvem Publica;Security Groups 
Nuvem Publica;AWS Network Firewall
Nuvem Publica;Network Load Balancer
Nuvem Publica;Application Load Balancer
Nuvem Publica;Gateway Load Balancer
Nuvem Publica;Nat Gateway
Nuvem Publica;AWS VPN
Nuvem Publica;Amazon ElastiCache for Redis/MemCache
Nuvem Publica;AWS Identity and Access Management (IAM)
Nuvem Publica;AWS IAM Identiy Center
Nuvem Publica;AWS Organizations
Nuvem Publica;Amazon Cognito
Nuvem Publica;Amazon Verified Permissions
Nuvem Publica;AWS Resource Manager
Nuvem Publica;AWS Directory Service
Nuvem Publica;CloudTrail
Nuvem Publica;CloudWatch
Nuvem Publica;Amazon Managed Service for Prometheus
Nuvem Publica;AWS X-Ray
Nuvem Publica;AWS Artifact
Nuvem Publica;Amazon GuardDuty
Nuvem Publica;Amazon Inspector
Nuvem Publica;AWS Security Hub
Nuvem Publica;Amazon Security Lake
Nuvem Publica;Amazon Detective
Nuvem Publica;Amazon Config
Nuvem Publica;Amazon Shield
Nuvem Publica;Amazon Macie
OUTPOSTS;AWS EBS
OUTPOSTS;Amazon S3
Nuvem Publica;Amazon S3 Glacier
Nuvem Publica;Amazon S3 Glacier Deep Archive
Nuvem Publica;Amazon EFS
Nuvem Publica;Amazon FSX for Windows
Nuvem Publica;Amazon Fsx for Lustre
Nuvem Publica;Amazon Storage Gateway
Nuvem Publica;AWS Backup
OUTPOSTS;AWS PostgreSQL
OUTPOSTS;AWS MySQL
Nuvem Publica;Amazon Keyspaces
Nuvem Publica;Amazon Nepture
Nuvem Publica;Amazon DynamoDB
Nuvem Publica;Amazon Keyspaces
Nuvem Publica;Amazon DocumentDB
Servicos;AWS Migration Hub
Servicos;AWS Application Migration Service (MGN)
Servicos;AWS App2Container
Servicos;AWS Database Migration Service
Servicos;AWS Snowball Edge
Servicos;AWS DataSync
Servicos;AWS Storage Gateway
Nuvem Publica;Amazon Q
Nuvem Publica;Amazon Bedrock
Nuvem Publica;Amazon Transcribe
Nuvem Publica;Amazon Polly
Nuvem Publica;Amazon Textract
Nuvem Publica;Amazon Rekoginiton
Nuvem Publica;Amazon Lex
Nuvem Publica;Amazon Translate
Nuvem Publica;Amazon Personalize
Nuvem Publica;Amazon Augmented AI
Nuvem Publica;Amazon Comprehend
Nuvem Publica;Amazon Fraud Detector
Nuvem Publica;Amazon Kendra
Nuvem Publica;Amazon Sagemaker
Nuvem Publica;Amazon QuickSight
Nuvem Publica;Amazon Athena
Nuvem Publica;AWS Data Exchange
Nuvem Publica;AWS Lake Formation
Nuvem Publica;Amazon DataZone
Nuvem Publica;AWS Clean Rooms
Nuvem Publica;AWS Glue
Nuvem Publica;AWS EMR
Nuvem Publica;Amazon Redshift
Nuvem Publica;Amazon Kinesis Video Streams
Nuvem Publica;Amazon Kinesis Data Streams
Nuvem Publica;Amazon Data Firehose
Nuvem Publica;Amazon Managed Service for Apache Flink
Nuvem Publica;Amazon Simple Queue Service (SQS)
Nuvem Publica;Amazon Simple Notification Service (SNS)
Nuvem Publica;Amazon MQ
Nuvem Publica;Amazon Event Bridge
Nuvem Publica;API Gateway
Nuvem Publica;AWS CodeCommit
Nuvem Publica;AWS CodeBuild
Nuvem Publica;AWS CodeDeploy
Nuvem Publica;AWS CodePipeline
Nuvem Publica;AWS CodeCatalyst
Nuvem Publica;AWS KMS (Key Management Service)
Nuvem Publica;AWS CloudHSM
Nuvem Publica;AWS Secrets Manager
Nuvem Publica;AWS AppFlow
Nuvem Publica;AWS Amplify
Nuvem Publica;AWS Step Functions
DRCC;Ops Insights for Oracle Autonomous Databases-Basic
DRCC;Ops Insights for Cloud Databases
DRCC;Ops Insights for External Oracle Databases and Host
DRCC;Application Performance Monitoring Service-Tracing Data
DRCC;Application Performance Monitoring Service-Synthetic Usage
DRCC;Database Management-External DB BYOL
DRCC;Database Management-External DB
DRCC;Database Management-Cloud Databases
DRCC;Ops Insights for Warehouse-Extract
DRCC;Ops Insights for Warehouse-Instance
DRCC;Logging Analytics- Active Storage
DRCC;Database Management-Autonomous Databases-ECPU
DRCC;Ops Insights for Oracle Autonomous Databases-Full
DRCC;Oracle Java Cloud Service-Enterprise
DRCC;Oracle Java Cloud Service-Standard
DRCC;Java Cloud Service-High Performance
DRCC;Java Cloud Service-Enterprise-BYOL
DRCC;Java Cloud Service-High Performance- BYOL
DRCC;Java Cloud Service-Standard-BYOL
DRCC;Oracle Visual Builder
DRCC;Oracle Visual Builder Studio-Additional Storage
DRCC;Oracle Digital Assistant Cloud Service
DRCC;Oracle Mobile Hub Cloud Service
DRCC;Big Data Service
DRCC;Speech
DRCC;Language-Custom Inferencing
DRCC;Language-Custom Inferencing-Dedicated
DRCC;Language-Custom Training
DRCC;Language-Text Translation
DRCC;Oracle Analytics Cloud-Professional
DRCC;Oracle Analytics Cloud-Enterprise
DRCC;Oracle Analytics Cloud-Professional-BYOL
DRCC;Oracle Analytics Cloud-Enterprise-BYOL
DRCC;Essbase for Oracle Cloud Infrastructure
DRCC;Oracle Analytics-Professional
DRCC;Oracle Analytics-Enterprise
DRCC;Oracle Analytics Server for Oracle Cloud Infrastructure
DRCC;Oracle Cloud Infrastructure-File Storage
DRCC;Oracle Cloud Infrastructure-Streaming-PUT or GET
DRCC;Oracle Cloud Infrastructure-Streaming-Storage
DRCC;Oracle Cloud Infrastructure-Object Storage- Requests
DRCC;Oracle Cloud Infrastructure-Object Storage- Storage
DRCC;Oracle Cloud Infrastructure-Block Volume Storage
DRCC;Oracle Cloud Infrastructure-Block Volume Performance
DRCC;Oracle Cloud Infrastructure-Data Retrieval - Storage
DRCC;Oracle ZFS Storage-High Availability
DRCC;Oracle Cloud Infrastructure-Key Management- Private Vault
DRCC;Oracle Identity Cloud Service-Enterprise User
DRCC;Oracle Identity Cloud Service-Consumer User
DRCC;Oracle Identity Cloud Service-Consumer User- BYOL
DRCC;Oracle Identity Foundation Cloud Service
DRCC;Oracle Cloud Infrastructure-KMS Vault-Key Versions
DRCC;Oracle Cloud Infrastructure Identity and Access Management-External User
DRCC;Oracle Cloud Infrastructure Identity and Access Management-Oracle Apps Premium
DRCC;Oracle Cloud Infrastructure Identity and Access Management-Premium
DRCC;Oracle Cloud Infrastructure Identity and Access Management-SMS
DRCC;Oracle Cloud Infrastructure Identity and Access Management-Token
DRCC;Oracle Cloud Infrastructure Identity and Access Management-Replication
DRCC;Oracle Threat Intelligence Service
DRCC;Oracle Cloud Infrastructure-Web Application Firewall-Requests
DRCC;Oracle Cloud Infrastructure-Web Application Firewall-Instance
DRCC;Oracle Cloud Infrastructure-External Key Management
DRCC;Oracle Integration Cloud Service-Standard
DRCC;Oracle Integration Cloud Service-Enterprise
DRCC;Oracle Integration Cloud Service-Standard-BYOL
DRCC;Oracle Integration Cloud Service-Enterprise-BYOL
DRCC;Oracle SOA Suite for Oracle Cloud Infrastructure
DRCC;Oracle SOA Suite for Oracle Cloud Infrastructure- with B2B Adapter for EDI
DRCC;Oracle Cloud Infrastructure Process Automation- User
DRCC;Oracle Cloud Infrastructure Process Automation- Execution Pack
DRCC;Oracle Data Integrator Cloud Service
DRCC;Oracle Data Integrator Cloud Service-BYOL
DRCC;Oracle Cloud Infrastructure-Data Integration- Workspace
DRCC;Oracle Cloud Infrastructure-Data Integration
DRCC;Oracle Stream Analytics for Oracle Cloud Infrastructure
DRCC;Oracle Cloud Infrastructure-GoldenGate
DRCC;Oracle Cloud Infrastructure-GoldenGate-BYOL
DRCC;Oracle Cloud Infrastructure-Data Integration- Pipeline Operator Execution
DRCC;Oracle Cloud Infrastructure-FastConnect 1 Gbps
DRCC;Oracle Cloud Infrastructure-FastConnect 10 Gbps
DRCC;Oracle Cloud Infrastructure-Outbound Data Transfer-Originating in North America, Europe, and UK
DRCC;Oracle Cloud Infrastructure-Email Delivery
DRCC;Oracle Cloud Infrastructure-Health Checks-Basic
DRCC;Oracle Cloud Infrastructure-Health Checks- Premium
DRCC;Oracle Cloud Infrastructure-Monitoring-Ingestion
DRCC;Oracle Cloud Infrastructure-Monitoring-Retrieval
DRCC;Oracle Cloud Infrastructure-Notifications-HTTPS Delivery
DRCC;Oracle Cloud Infrastructure-Notifications-Email Delivery
DRCC;Oracle Cloud Infrastructure-Logging-Storage
DRCC;Oracle Cloud Infrastructure-Notifications-SMS Outbound to Country
DRCC;Oracle Cloud Infrastructure-Load Balancer Base
DRCC;Oracle Cloud Infrastructure-Load Balancer Bandwidth
DRCC;Oracle Cloud Infrastructure-FastConnect 100Gbps
DRCC;Oracle Cloud Infrastructure-Outbound Data Transfer-Originating in APAC, Japan, and South America
DRCC;Oracle Cloud Infrastructure-Outbound Data Transfer-Originating in Middle East and Africa
DRCC;Oracle Functions-Execution Time-10,000 Gigabyte Memory
DRCC;Oracle Functions-Invocations
DRCC;Oracle Cloud Infrastructure-Compute-Microsoft SQL Enterprise
DRCC;Oracle Cloud Infrastructure-Compute-Microsoft SQL Standard
DRCC;Oracle Cloud Infrastructure-API Gateway- 1,000,000 API Calls
DRCC;Oracle Cloud Infrastructure-Compute-Standard-X9
DRCC;Oracle Cloud Infrastructure-Compute-Standard- X9-Memory
DRCC;Oracle Container Engine for Kubernetes- Enhanced Cluster
DRCC;Oracle Cloud Infrastructure-Compute-Standard- E5-OCPU
DRCC;Oracle Cloud Infrastructure-Compute-Standard- E5-Memory
DRCC;MySQL Database-ECPU
DRCC;Oracle Database Cloud Service-Enterprise Edition-General Purpose
DRCC;Oracle Database Cloud Service-Enterprise Edition Extreme Performance-General Purpose
