PRODUTO;SUB-CATEGORIA
ECS Tipo S;Servico de Nuvem Elastica
ECS Tipo C;Servico de Nuvem Elastica
EVS;Servico de Volume Elastico
OBS;Servico de Armazenamento de Objetos
CCE;Servico de Container em Nuvem
SWR;Repositório de Software pare Container
CGS;Seguranca para Containers
Huawei MySQL ;Servico de Banco de Dados Relacional
Huawei PostgreSQL;Servico de Banco de Dados Relacional
Huawei WAF;Servico de Firewall
CBH;Seguranca para Host
CodeArts Enterprise;Servicos de Inteligência Artificial e Machine Learning
IMS;Servico de Gestao de Imagens
Huawei Auto Scaling;Escalonamento Automatico
SMN;Servico de Mensagens
TMS;Servico de Gerenciamento de TAGs
VPC Endpoint;Nuvem Privada Virtual
DNS;Servico de DNS
ELB;Balanceamento de Trafego
VPC NAT Gateway;Gateway NAT
VPN;Servico de VPN
IAM;Gerenciamento de Identidade e Acesso
Cloud Eye;Servico de Visualizacao de Logs
Cloud Eye + AOM;Servico de Monitoracao
EIP;Servico de IP Elastico
EIP Traffic Monitoring;Servico de Monitoramento do Trafego de IP Elastico
SMC;Central de Monitoramento de Seguranca
Anti-DDoS;Seguranca Anti-DDoS
CBR;Servico de Backup e Recuperacao de Dados
Huawei KMS;Armazenamento e Gerenciamento de Chaves Criptograficas
Basic On-Site Services;Servicos Basicos On Site
Cloud Service Engineer Training;Treinamento
EC2;Servico de Nuvem Elastica
EC2 - GPU;Servico de Nuvem Elastica
Auto Scaling;Escalonamento Automatico
Serverless;Servicos de Computacao sem Servidor
EKS;Servico de Container em Nuvem
AWS ECS;Servico de Container em Nuvem
ECR;Repositório de Software pare Container
VPC ;Nuvem Privada Virtual
AWS Transit Gateway;Gateway NAT
AWS PrivateLink;Nuvem Privada Virtual
Amazon VPC Lattice;Nuvem Privada Virtual
AWS AppMesh;Nuvem Privada Virtual
AWS Cloud MAP;Nuvem Privada Virtual
Route 53;Servico de DNS
AWS Web Application Firewall;Servico de Firewall
Security Groups ;Servico de Firewall
AWS Network Firewall;Servico de Firewall
Network Load Balancer;Balanceamento de Trafego
Application Load Balancer;Balanceamento de Trafego
Gateway Load Balancer;Balanceamento de Trafego
Nat Gateway;Gateway NAT
AWS VPN;Servico de VPN
Amazon ElastiCache for Redis/MemCache;Servico de Cache Gerenciado
AWS Identity and Access Management (IAM);Gerenciamento de Identidade e Acesso
AWS IAM Identiy Center;Gerenciamento de Identidade e Acesso
AWS Organizations;Gerenciamento de Identidade e Acesso
Amazon Cognito;Gerenciamento de Identidade e Acesso
Amazon Verified Permissions;Gerenciamento de Identidade e Acesso
AWS Resource Manager;Gerenciamento de Identidade e Acesso
AWS Directory Service;Gerenciamento de Identidade e Acesso
CloudTrail;Servicos de Governanca
CloudWatch;Servico de Visualizacao de Logs
Amazon Managed Service for Prometheus;Servico de Monitoracao
AWS X-Ray;Servico de Tracing
AWS Artifact;Servicos de Conformidade e Seguranca
Amazon GuardDuty;Servicos de Conformidade e Seguranca
Amazon Inspector;Servicos de Conformidade e Seguranca
AWS Security Hub;Servicos de Conformidade e Seguranca
Amazon Security Lake;Servicos de Conformidade e Seguranca
Amazon Detective;Servicos de Conformidade e Seguranca
Amazon Config;Servicos de Conformidade e Seguranca
Amazon  Shield;Servicos de Conformidade e Seguranca
Amazon Macie;Servicos de Conformidade e Seguranca
AWS EBS;Servicos de Armazenamento de Blocos
Amazon S3;Servico de Armazenamento de Objetos
Amazon S3 Glacier;Servico de Armazenamento de Objetos para Archiving
Amazon S3 Glacier Deep Archive;Servico de Armazenamento de Objetos para Archiving
Amazon EFS;Servico de Armazenamento de Sistemas de Arquivos
Amazon FSX for Windows;Servico de Armazenamento de Sistemas de Arquivos
Amazon Fsx for Lustre;Servico de Armazenamento de Sistemas de Arquivos
Amazon Storage Gateway;Servico de Armazenamento de Sistemas de Arquivos
AWS Backup;Servico de Backup e Recuperacao de Dados
AWS PostgreSQL;Servico de Banco de Dados Relacional
AWS MySQL;Servico de Banco de Dados Relacional
Amazon Keyspaces;Servico de Banco de Dados NoSQL
Amazon Nepture;Servico de Banco de Dados NoSQL
Amazon DynamoDB;Servico de Banco de Dados NoSQL
Amazon Keyspaces;Servico de Banco de Dados NoSQL
Amazon DocumentDB;Servico de Banco de Dados NoSQL
AWS Migration Hub;Servico de Migracao de Container e de Servidores
AWS Application Migration Service (MGN);Servico de Migracao de Container e de Servidores
AWS App2Container;Servico de Migracao de Container e de Servidores
AWS Database Migration Service;Servico de Migracao de Banco de Dados
AWS Snowball Edge;Servico de Migracao de Armazenamento
AWS DataSync;Servico de Migracao de Armazenamento
AWS Storage Gateway;Servico de Migracao de Armazenamento
Amazon Q;Assistente de IA Generativa
Amazon Bedrock;Servicos de Gerenciamento de IA Generativa
Amazon Transcribe;Servicos de Transcricao de Fala para Texto
Amazon Polly;Servicos de Texto para Fala
Amazon Textract;Servicos de OCR
Amazon Rekoginiton;Servicos de Reconhecimento de Imagem
Amazon Lex;Servicos de ChatBot
Amazon Translate;Servicos de Traducao de Texto
Amazon Personalize;Servicos de Recomendacao
Amazon Augmented AI;Servicos de Integracao de Analise Humana à IA
Amazon Comprehend;Servicos de Monitoramento de Mídias e Redes Sociais
Amazon Fraud Detector;Servicos de Deteccao de Fraude
Amazon Kendra;Servicos de Inteligência Artificial e Machine Learning
Amazon Sagemaker;Servicos de Inteligência Artificial e Machine Learning
